segment,time_s,min_speed_mph,max_speed_mph,likely_speed_mph,min_position_ft,max_position_ft,likely_position_ft
1,8.193277310924369,-34.01983193277311,-0.0,-25.826554621848736,42658.69157615451,42658.69157615451,42658.69157615451
1,8.319327731092436,-34.397983193277305,-0.0,-26.078655462184873,42651.616674827004,42651.616674827004,42651.616674827004
1,8.445378151260504,-34.776134453781516,-0.0,-26.330756302521007,42644.565076991494,42644.565076991494,42644.565076991494
1,8.571428571428571,-35.15428571428571,-0.0,-26.582857142857144,42637.53678264796,42637.53678264796,42637.53678264796
1,8.697478991596638,-35.53243697478992,-0.0,-26.834957983193277,42630.53179179641,42630.53179179641,42630.53179179641
1,8.823529411764707,-35.91058823529412,-0.0,-27.08705882352941,42623.55010443685,42623.55010443685,42623.55010443685
1,8.949579831932773,-36.288739495798325,-0.0,-27.339159663865548,42616.59172056927,42616.59172056927,42616.59172056927
1,9.07563025210084,-36.66689075630252,-0.0,-27.591260504201678,42609.65664019368,42609.65664019368,42609.65664019368
1,9.201680672268907,-37.04504201680672,-0.0,-27.843361344537815,42602.74486331007,42602.74486331007,42602.74486331007
1,9.327731092436974,-36.971344537815135,-0.0,-28.095462184873945,42595.85638991845,42595.85638991845,42595.85638991845
1,9.453781512605042,-36.34109243697478,-0.0,-28.347563025210086,42588.99122001882,42588.99122001882,42588.99122001882
1,9.579831932773109,-35.710840336134446,-0.0,-28.59966386554622,42582.14935361117,42582.14935361117,42582.14935361117
1,9.705882352941176,-35.08058823529412,-0.0,-28.851764705882353,42575.3307906955,42575.3307906955,42575.3307906955
1,9.831932773109244,-34.45033613445378,-0.0,-29.10386554621849,42568.53553127182,42568.53553127182,42568.53553127182
1,9.957983193277311,-33.82008403361345,-0.0,-29.35596638655462,42561.76357534013,42561.76357534013,42561.76357534013
1,10.084033613445378,-33.18983193277311,-0.0,-29.608067226890757,42555.01492290042,42555.01492290042,42555.01492290042
1,10.210084033613445,-32.55957983193277,-0.0,-29.860168067226887,42548.28957395269,42548.28957395269,42548.28957395269
1,10.336134453781511,-31.929327731092446,-0.0,-30.112268907563028,42541.587528496944,42541.587528496944,42541.587528496944
1,10.46218487394958,-31.299075630252098,-0.0,-30.36436974789916,42534.90878653319,42534.90878653319,42534.90878653319
1,10.588235294117647,-30.66882352941176,-0.0,-30.616470588235295,42528.25334806142,42528.25334806142,42528.25334806142
1,10.714285714285714,-30.038571428571434,-0.0,-30.038571428571434,42521.62121308163,42521.62121308163,42521.62121308163
1,10.840336134453782,-29.40831932773109,-0.0,-29.40831932773109,42515.01238159383,42515.01238159383,42515.01238159383
1,10.966386554621849,-28.778067226890755,-0.0,-28.778067226890755,42508.426853598015,42508.426853598015,42508.426853598015
1,11.092436974789916,-28.14781512605042,-0.0,-28.14781512605042,42501.86462909418,42501.86462909418,42501.86462909418
1,11.218487394957982,-27.517563025210087,-0.0,-27.517563025210087,42495.32570808234,42495.32570808234,42495.32570808234
1,11.34453781512605,-26.887310924369753,-0.0,-26.887310924369753,42488.810090562474,42488.810090562474,42488.810090562474
1,11.470588235294118,-26.257058823529412,-0.0,-26.257058823529412,42482.317776534604,42482.317776534604,42482.317776534604
1,11.596638655462185,-25.626806722689075,-0.0,-25.626806722689075,42475.848765998715,42475.848765998715,42475.848765998715
1,11.722689075630251,-24.99655462184874,-0.0,-24.99655462184874,42469.403058954806,42469.403058954806,42469.403058954806
1,11.84873949579832,-24.3663025210084,-0.0,-24.3663025210084,42462.980655402884,42462.980655402884,42462.980655402884
1,11.974789915966387,-23.736050420168063,-0.0,-23.736050420168063,42456.58155534295,42456.58155534295,42456.58155534295
1,12.100840336134453,-23.105798319327732,-0.0,-23.105798319327732,42450.205758775,42450.205758775,42450.205758775
1,12.22689075630252,-22.4755462184874,-0.2906722689075594,-22.4755462184874,42443.85326569903,42443.85326569903,42443.85326569903
1,12.352941176470587,-21.84529411764706,-0.6688235294117603,-21.84529411764706,42437.52407611505,42437.52407611505,42437.52407611505
1,12.478991596638656,-21.215042016806724,-1.0469747899159658,-21.215042016806724,42431.21819002306,42431.21819002306,42431.21819002306
1,12.605042016806722,-20.584789915966386,-1.4251260504201655,-20.584789915966386,42424.935607423045,42424.935607423045,42424.935607423045
1,12.731092436974789,-19.954537815126052,-1.8032773109243663,-19.954537815126052,42418.67632831502,42418.67632831502,42418.67632831502
1,12.857142857142858,-19.32428571428571,-2.181428571428572,-19.32428571428571,42412.44035269898,42412.44035269898,42412.44035269898
1,12.983193277310924,-18.694033613445377,-2.5595798319327714,-18.694033613445377,42406.22768057493,42406.22768057493,42406.22768057493
1,13.109243697478991,-18.063781512605043,-2.937731092436972,-18.063781512605043,42400.03831194285,42400.03831194285,42400.03831194285
1,13.235294117647058,-17.43352941176471,-3.3158823529411725,-17.43352941176471,42393.87224680277,42393.87224680277,42393.87224680277
1,13.361344537815125,-16.803277310924376,-3.6940336134453733,-16.803277310924376,42387.72948515466,42387.72948515466,42387.72948515466
1,13.487394957983193,-16.17302521008403,-4.072184873949579,-16.17302521008403,42381.61002699855,42381.61002699855,42381.61002699855
1,13.61344537815126,-15.5427731092437,-4.450336134453779,-15.5427731092437,42375.51387233442,42375.51387233442,42375.51387233442
1,13.739495798319327,-14.912521008403363,-4.828487394957979,-14.912521008403363,42369.441021162274,42369.441021162274,42369.441021162274
1,13.865546218487395,-14.28226890756302,-5.206638655462185,-14.28226890756302,42363.391473482116,42363.391473482116,42363.391473482116
1,13.991596638655462,-13.652016806722688,-5.584789915966385,-13.652016806722688,42357.36522929394,42357.36522929394,42357.36522929394
1,14.117647058823529,-13.021764705882354,-5.962941176470586,-13.021764705882354,42351.36228859775,42351.36228859775,42351.36228859775
1,14.243697478991596,-12.391512605042019,-6.341092436974787,-12.391512605042019,42345.38265139354,42345.38265139354,42345.38265139354
1,14.369747899159663,-11.761260504201687,-6.719243697478986,-11.761260504201687,42339.426317681326,42339.426317681326,42339.426317681326
1,14.495798319327731,-11.131008403361342,-7.097394957983192,-11.131008403361342,42333.49328746109,42333.49328746109,42333.49328746109
1,14.621848739495798,-10.50075630252101,-7.475546218487393,-10.50075630252101,42328.93070782879,42329.76963354025,42329.76963354025
1,14.747899159663865,-9.870504201680676,-7.8536974789915925,-9.870504201680676,42327.51371569515,42327.88657156691,42327.88657156691
1,14.873949579831933,-9.240252100840333,-8.231848739495799,-9.240252100840333,42326.026813085555,42326.12002705349,42326.12002705349
1,15.0,-8.61,-8.61,-8.61,42324.47,42324.47,42324.47
2,15.0,-8.61,-8.61,-8.61,42324.47,42324.47,42324.47
